1772320197675,14497,destination00000
1772320197743,11978,destination00001
1772320197773,2336,destination00002
1772320197818,7546,destination00003
1772320197898,2062,destination00004
1772320197955,13629,destination00005
1772320198043,23484,destination00006
1772320198121,24045,destination00007
1772320198175,24483,destination00008
1772320198271,13234,destination00009
1772320198303,2539,destination00010
1772320198362,2540,destination00011
1772320198416,10189,destination00012
1772320198445,7609,destination00013
1772320198462,22267,destination00014
1772320198529,24851,destination00015
1772320198597,12291,destination00016
1772320198634,4957,destination00017
1772320198687,4981,destination00018
1772320198702,21725,destination00019
1772320198753,14590,destination00020
1772320198811,13809,destination00021
1772320198882,5900,destination00022
1772320198971,5476,destination00023
1772320199063,12663,destination00024
1772320199139,21261,destination00025
1772320199158,12272,destination00026
1772320199200,1080,destination00027
1772320199297,7076,destination00028
1772320199371,921,destination00029
1772320199438,20784,destination00030
1772320199470,24763,destination00031
1772320199516,1826,destination00032
1772320199525,1656,destination00033
1772320199599,21633,destination00034
1772320199608,5055,destination00035
1772320199692,8430,destination00036
1772320199791,14590,destination00037
1772320199827,6355,destination00038
1772320199872,6354,destination00039
1772320199945,10243,destination00040
1772320200034,8270,destination00041
1772320200107,1394,destination00042
1772320200175,8573,destination00043
1772320200268,23476,destination00044
1772320200283,7037,destination00045
1772320200351,12820,destination00046
1772320200360,2520,destination00047
1772320200362,10852,destination00048
1772320200446,4619,destination00049
1772320200537,2377,destination00050
1772320200590,10799,destination00051
1772320200678,23544,destination00052
1772320200715,12210,destination00053
1772320200808,7492,destination00054
1772320200891,22448,destination00055
1772320200917,21548,destination00056
1772320200949,274,destination00057
1772320201003,628,destination00058
1772320201077,1562,destination00059
1772320201092,11825,destination00060
1772320201152,12772,destination00061
1772320201242,6495,destination00062
1772320201275,2191,destination00063
1772320201330,10484,destination00064
1772320201377,9762,destination00065
1772320201439,21975,destination00066
1772320201501,4490,destination00067
1772320201525,9997,destination00068
1772320201556,22506,destination00069
1772320201557,11768,destination00070
1772320201649,20121,destination00071
1772320201714,12184,destination00072
1772320201749,8658,destination00073
1772320201829,10063,destination00074
1772320201833,12130,destination00075
1772320201889,4554,destination00076
1772320201963,20427,destination00077
1772320201967,20434,destination00078
1772320202026,9400,destination00079
1772320202119,6105,destination00080
1772320202121,23293,destination00081
1772320202138,9057,destination00082
1772320202224,1182,destination00083
1772320202300,6511,destination00084
1772320202361,11876,destination00085
1772320202436,13433,destination00086
1772320202449,9972,destination00087
1772320202542,20413,destination00088
1772320202637,7862,destination00089
1772320202718,11594,destination00090
1772320202788,40,destination00091
1772320202831,3516,destination00092
1772320202841,290,destination00093
1772320202879,20672,destination00094
1772320202958,22547,destination00095
1772320203034,3199,destination00096
1772320203094,3505,destination00097
1772320203174,6944,destination00098
1772320203271,22827,destination00099
1772320203309,8556,destination00100
1772320203316,10400,destination00101
1772320203372,9860,destination00102
1772320203459,12673,destination00103
1772320203534,21905,destination00104
1772320203591,5620,destination00105
1772320203605,9360,destination00106
1772320203669,6261,destination00107
1772320203711,24324,destination00108
1772320203749,1921,destination00109
1772320203782,1057,destination00110
1772320203809,13827,destination00111
1772320203900,10180,destination00112
1772320203966,2351,destination00113
1772320203974,24272,destination00114
1772320204017,4262,destination00115
1772320204032,24724,destination00116
1772320204053,6796,destination00117
1772320204086,21181,destination00118
1772320204170,11043,destination00119
1772320204224,14052,destination00120
1772320204270,7576,destination00121
1772320204287,20758,destination00122
1772320204309,2052,destination00123
1772320204387,13757,destination00124
1772320204466,6519,destination00125
1772320204477,13174,destination00126
1772320204519,12734,destination00127
1772320204618,20231,destination00128
1772320204676,3479,destination00129
1772320204680,13981,destination00130
1772320204683,1548,destination00131
1772320204760,11101,destination00132
1772320204813,8808,destination00133
1772320204819,11909,destination00134
1772320204868,20837,destination00135
1772320204890,302,destination00136
1772320204926,8428,destination00137
1772320204954,22410,destination00138
1772320205004,4464,destination00139
1772320205074,13424,destination00140
1772320205081,1480,destination00141
1772320205083,11914,destination00142
1772320205142,5458,destination00143
1772320205188,6122,destination00144
1772320205198,3989,destination00145
1772320205244,23940,destination00146
1772320205257,1982,destination00147
1772320205292,7360,destination00148
1772320205293,6241,destination00149
1772320205372,5595,destination00150
1772320205444,9214,destination00151
1772320205496,24852,destination00152
1772320205507,9467,destination00153
1772320205569,8825,destination00154
1772320205592,5862,destination00155
1772320205652,20325,destination00156
1772320205697,11083,destination00157
1772320205730,8584,destination00158
1772320205755,20862,destination00159
1772320205814,9587,destination00160
1772320205833,8883,destination00161
1772320205923,2058,destination00162
1772320205976,7064,destination00163
1772320206073,156,destination00164
1772320206105,21234,destination00165
1772320206139,6765,destination00166
1772320206162,7919,destination00167
1772320206211,21104,destination00168
1772320206231,1671,destination00169
1772320206322,14511,destination00170
1772320206408,11809,destination00171
1772320206458,3727,destination00172
1772320206551,22511,destination00173
1772320206645,1637,destination00174
1772320206706,3020,destination00175
1772320206785,22964,destination00176
1772320206877,23794,destination00177
1772320206889,6914,destination00178
1772320206928,3569,destination00179
1772320206989,10602,destination00180
1772320207054,4994,destination00181
1772320207145,20333,destination00182
1772320207242,4734,destination00183
1772320207327,80,destination00184
1772320207413,4201,destination00185
1772320207445,1727,destination00186
1772320207470,12145,destination00187
1772320207483,21632,destination00188
1772320207519,4110,destination00189
1772320207577,13122,destination00190
1772320207659,4424,destination00191
1772320207742,6491,destination00192
1772320207825,22397,destination00193
1772320207921,9345,destination00194
1772320207933,2277,destination00195
1772320207958,14651,destination00196
1772320208034,10789,destination00197
1772320208040,7945,destination00198
1772320208097,20085,destination00199
1772320208185,24328,destination00200
1772320208231,5679,destination00201
1772320208271,10103,destination00202
1772320208332,21539,destination00203
1772320208373,4686,destination00204
1772320208448,2608,destination00205
1772320208505,4034,destination00206
1772320208603,8092,destination00207
1772320208678,24542,destination00208
1772320208761,4854,destination00209
1772320208788,8974,destination00210
1772320208848,4424,destination00211
1772320208928,6904,destination00212
1772320208943,7518,destination00213
1772320208945,10479,destination00214
1772320208954,6896,destination00215
1772320208976,1247,destination00216
1772320209045,12032,destination00217
1772320209142,14642,destination00218
1772320209157,22942,destination00219
1772320209166,24730,destination00220
1772320209218,4967,destination00221
1772320209289,1360,destination00222
1772320209358,14446,destination00223
1772320209378,21276,destination00224
1772320209427,4272,destination00225
1772320209519,3302,destination00226
1772320209595,13486,destination00227
1772320209635,8280,destination00228
1772320209731,4667,destination00229
1772320209790,13525,destination00230
1772320209828,24174,destination00231
1772320209890,8734,destination00232
1772320209980,1394,destination00233
1772320210037,5639,destination00234
1772320210124,24828,destination00235
1772320210141,128,destination00236
1772320210238,24704,destination00237
1772320210257,12355,destination00238
1772320210326,1793,destination00239
1772320210356,10966,destination00240
1772320210399,20615,destination00241
1772320210435,13444,destination00242
1772320210499,7243,destination00243
1772320210585,10214,destination00244
1772320210618,332,destination00245
1772320210688,7394,destination00246
1772320210706,13156,destination00247
1772320210803,11447,destination00248
1772320210853,4619,destination00249
1772320210885,2628,destination00250
1772320210977,6818,destination00251
1772320210996,9475,destination00252
1772320211050,4094,destination00253
1772320211068,22289,destination00254
1772320211139,21802,destination00255
1772320211207,8202,destination00256
1772320211280,11062,destination00257
1772320211316,1928,destination00258
1772320211333,22318,destination00259
1772320211392,13932,destination00260
1772320211475,4862,destination00261
1772320211542,14410,destination00262
1772320211561,1855,destination00263
1772320211655,5187,destination00264
1772320211694,10755,destination00265
1772320211768,14225,destination00266
1772320211816,8232,destination00267
1772320211877,2691,destination00268
1772320211948,7055,destination00269
1772320211988,22597,destination00270
1772320212036,13759,destination00271
1772320212047,20647,destination00272
1772320212111,2043,destination00273
1772320212155,9540,destination00274
1772320212187,10971,destination00275
1772320212230,22818,destination00276
1772320212249,20442,destination00277
1772320212334,23516,destination00278
1772320212410,13823,destination00279
1772320212446,20559,destination00280
1772320212496,1699,destination00281
1772320212499,21362,destination00282
1772320212541,6667,destination00283
1772320212637,14870,destination00284
1772320212641,6110,destination00285
1772320212725,3883,destination00286
1772320212761,8345,destination00287
1772320212780,13928,destination00288
1772320212805,20348,destination00289
1772320212817,8806,destination00290
1772320212915,11281,destination00291
1772320212944,22414,destination00292
1772320212999,7352,destination00293
1772320213017,9911,destination00294
1772320213028,20611,destination00295
1772320213102,11371,destination00296
1772320213112,10970,destination00297
1772320213113,7628,destination00298
1772320213181,13835,destination00299
1772320213242,12382,destination00300
1772320213323,663,destination00301
1772320213414,11624,destination00302
1772320213476,12038,destination00303
1772320213543,1345,destination00304
1772320213597,11270,destination00305
1772320213650,5577,destination00306
1772320213749,23417,destination00307
1772320213797,11250,destination00308
1772320213890,14071,destination00309
1772320213969,655,destination00310
1772320214025,1416,destination00311
1772320214051,3044,destination00312
1772320214131,6614,destination00313
1772320214204,2117,destination00314
1772320214211,21455,destination00315
1772320214280,12731,destination00316
1772320214322,7768,destination00317
1772320214383,4535,destination00318
1772320214432,22421,destination00319
1772320214495,3453,destination00320
1772320214541,13695,destination00321
1772320214604,2672,destination00322
1772320214611,21004,destination00323
1772320214659,9871,destination00324
1772320214681,13533,destination00325
1772320214771,23485,destination00326
1772320214840,13475,destination00327
1772320214895,10002,destination00328
1772320214989,1561,destination00329
1772320214992,8749,destination00330
1772320215005,553,destination00331
